time,qmed_d,Tmed_s_out,qmed_c
2023-06-28 11:07:50+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:07:55+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:08:00+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:08:05+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:08:10+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:08:15+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:08:20+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:08:25+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:08:30+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:08:35+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:08:40+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:08:45+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:08:50+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:08:55+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:09:00+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:09:05+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:09:10+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:09:15+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:09:20+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:09:25+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:09:30+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:09:35+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:09:40+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:09:45+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:09:50+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:09:55+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:10:00+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:10:05+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:10:10+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:10:15+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:10:20+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:10:25+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:10:30+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:10:35+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:10:40+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:10:45+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:10:50+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:10:55+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:11:00+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:11:05+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:11:10+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:11:15+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:11:20+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:11:25+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:11:30+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:11:35+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:11:40+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:11:45+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:11:50+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:11:55+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:12:00+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:12:05+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:12:10+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:12:15+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:12:20+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:12:25+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:12:30+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:12:35+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:12:40+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:12:45+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:12:50+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:12:55+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:13:00+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:13:05+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:13:10+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:13:15+00:00,2.217573620133493,71.64223804353969,13.16307274416414
2023-06-28 11:13:20+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:13:25+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:13:30+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:13:35+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:13:40+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:13:45+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:13:50+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:13:55+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:14:00+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:14:05+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:14:10+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:14:15+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:14:20+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:14:25+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:14:30+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:14:35+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:14:40+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:14:45+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:14:50+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:14:55+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:15:00+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:15:05+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:15:10+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:15:15+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:15:20+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:15:25+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:15:30+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:15:35+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:15:40+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:15:45+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:15:50+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:15:55+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:16:00+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:16:05+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:16:10+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:16:15+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:16:20+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:16:25+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:16:30+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:16:35+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:16:40+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:16:45+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:16:50+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:16:55+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:17:00+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:17:05+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:17:10+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:17:15+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:17:20+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:17:25+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:17:30+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:17:35+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:17:40+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:17:45+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:17:50+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:17:55+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:18:00+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:18:05+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:18:10+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:18:15+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:18:20+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:18:25+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:18:30+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:18:35+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:18:40+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:18:45+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:18:50+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:18:55+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:19:00+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:19:05+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:19:10+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:19:15+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:19:20+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:19:25+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:19:30+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:19:35+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:19:40+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:19:45+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:19:50+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:19:55+00:00,2.1875207563439574,71.6298861608957,13.236072041077762
2023-06-28 11:20:00+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:20:05+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:20:10+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:20:15+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:20:20+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:20:25+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:20:30+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:20:35+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:20:40+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:20:45+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:20:50+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:20:55+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:21:00+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:21:05+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:21:10+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:21:15+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:21:20+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:21:25+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:21:30+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:21:35+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:21:40+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:21:45+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:21:50+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:21:55+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:22:00+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:22:05+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:22:10+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:22:15+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:22:20+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:22:25+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:22:30+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:22:35+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:22:40+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:22:45+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:22:50+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:22:55+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:23:00+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:23:05+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:23:10+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:23:15+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:23:20+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:23:25+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:23:30+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:23:35+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:23:40+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:23:45+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:23:50+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:23:55+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:24:00+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:24:05+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:24:10+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:24:15+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:24:20+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:24:25+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:24:30+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:24:35+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:24:40+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:24:45+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:24:50+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:24:55+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:25:00+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:25:05+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:25:10+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:25:15+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:25:20+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:25:25+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:25:30+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:25:35+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:25:40+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:25:45+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:25:50+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
2023-06-28 11:25:55+00:00,2.2150895184299486,71.64952138280205,13.187053508213694
